steming_data,Score,Sentiment
susah verivikasi nomor telpone gentkontak daftar masuk nomor code verifikasi nomor ubah lengkap,-2,Negatif
login nomor minta get contact beda kendala akses batas bayar,-1,Negatif
beri bintang cerita nih download get contact masuk pakai kode pas download get contact muncul kode pencet,-3,Negatif
suka nge bug pas terima telp hp ya bunyi tampil halaman telpon telpon tombol angkatrijek default lihat tag suka ya,5,Positif
iklan tag batas mohon batas free buang kuota iklan buat dapat iklan batas layan ketat contoh guna free layan batas tag nomor,-3,Negatif
langgan aplikasi hapus sedanhkan bayar ter debet masuk sulit verifukasinya minggu,-2,Negatif
bagus sih cuaman kontak cuman muncul kontak doang jir maksud tuh tagar cuman dikit loh temenku kontak an muncul cuman an plis baik,-3,Negatif
bantu harap jaga nomor bayar bulan ecek beberapakali itu rasa nomor curiga uninstall,-3,Negatif
tolong pas login tulis kirim kode verifikasi apa pokok ingat ingat benci aplikasi sumpah muncul tulis ituitu and segitu sih mohon tolong baik aplikasi notice ok sekian terima kasih,-1,Negatif
bayar premium pakai suruh konfirmasi balikin saldo kasih dicancel otomatis kecewa banget,4,Positif
verifikasi susah nomor ketik eh tau catat proses angka ya hasil aneh aplikasi,1,Positif
mahal lihat nama kontak gratis batas bayar bulan app pakai bayar bulan cek bulan mesti cek,-4,Negatif
masuk langsung sambut fitur premiumdulu lihat tag kontak orang max kali pakai fitur premiumskrg lihat tag orang premiumayo get contact fitur lamamutmnku ngeluh fitur lihat tag orang wajib premium depan ya tag maaf anehsoalnya tulis etik ngantuktpi gppaku erti gc biaya,4,Positif
premium deteksi nonmor deteksi fitur buka,1,Positif
langgan tarif lumayan mahal jarang pakai kali baik free kali cari biar kecewa download,2,Positif
pantau komplain alas tagar bayar guna fitur rindu aplikasi getcontact versi mari amat getcontact benarbenar dengar saran guna benah abai,2,Positif
sayangya bayar buka masuk bayar download pakai data tolong min biar aplikasijujur kecewa,-2,Negatif
tolong batas pakai ya dikit banget aplikasi ya bantu banget cari tipu tolong banget pakai beberapakali bulan gapapa tonton iklan mohon timbang ya moga lihat admin ya,3,Positif
ribet sih pasuk nomor nomor hilang digit aplikasi asa ribet deh deh aplikasi kepake ujung ya bayar habis bayar ditingkatin ribet kecewa banget sumpah,-4,Negatif
bantu akses mudah bintang turun keluh bayar ya bayar kau pikir kembang aplikasi gampang beban modal,1,Positif
beli premium suka masuk telepon dikenalspam bangetharusnya bayar masuk telepon spamini suka msksettingan blok,-1,Negatif
buka upgrade tagar upgrade gratis premium jdinya tarik free premium ya baca ulas komplain mmng sepenuh gratis tetap bulan sekian kali tagar nomor cari terap iklan kali guna ya tagar,5,Positif
fitur lihat tag jadi premium jadi premium user langgan fitur lihat tag limit hari nomor fiturnya bantu orang nomor tipu,5,Positif
mendownload pas buka tulis koneksi internet wifi sajatolong developer cek,-1,Negatif
gagal verifikasi no hp verif gilir otp nomor aco sesuai ketik tolong benah sistem diupdate bagus bug ya,-1,Negatif
bantu premium fasilitas ok aplikasi bayar premium untum cari nomor hp sesuai,2,Positif
aplikasi gaguna dikit dikit bayar tuju tingkat mending tingkat gampang banget pakai,1,Positif
akun premium kontak lacak sayang aplikasi izin guna privasi akun oknum tanggung lalu tindak kriminal,1,Positif
yll akun tulis kirim verifikasiharap tunggu sebentar coba lagiskrg download eh tulis diatastrs tunggu sebentar aneh,-1,Negatif
premium gratis gratis ya batas asik dikit bayar contoh ya apk tolong gratis batas kecuali,4,Positif
dana sedot dendiriaplikasi langgan tuju penggunadimana refund diberitahukan,2,Positif
kebnyakan premium apk jarang pakai maaf unistal cari manfaat langgan premium lihat tag orang,4,Positif
ganti hp login eh tambah sulit login ku tulis nomernya gagal gagal huhu tolong baik,-1,Negatif
saran sih coba kuota limit hari pakai iklan cek nomor premium pakai apk senang banget,1,Positif
bagus notifikasi kontak telat notifikasi panggil selesai telat ganggu,-4,Negatif
aplikasi burug fitur premium lantas aplikasi cok menuhin memori versi gratis guna minimal hak cari nomor lihat tag batas kali bulan reset beli fiturnya oke disuru bayar,-1,Negatif
no hp daftar hilang digit proses verifikasi sebab gagal daftar akun coba opsi opsi no hp hilang digit,1,Positif
benci banget lihat tag nama kontak orang premium premium ya cuman bulan aplikasi bantu cari untung doang ya,3,Positif
batas kali cari nomor save kali kecewa gua cari nomor bilang getcontacy verifikasi nomor,-4,Negatif
apk ya hebat bayar mending premium susah mending ganti iklan bayar mah haduhhh,1,Positif
harga mahal fitur dinikmatidipakai user bawah ribu oke atas ribu mah mahal,3,Positif
saran ya moga depan tag tuh minimal kali bulan gratis bayar mah beda apk telepon bawa hp orang cari gratis wkwk,1,Positif
populer apk getcontact lihat tagar kontak gerat bayar bantu banget boros turut,-1,Negatif
guna aplikasiny ubah update premium sila baik tambah tag baca aplikasi,2,Positif
sumpah download cek nomer mesti bayar bayar tipu sembunyiin nomernya aneh dulue gratis bantu banget iklan fitur dasar bayar bayar iklan iklan bayar,1,Positif
tagar mesti premium mode mode bagus kesini app,-1,Negatif
aneh donlod login pasuk nomer hp bot watsap tanggap bolak daftar,-1,Negatif
aplikasi bayar nama tag nomer orang pacarsahabatteman dllkecewa sih get contact bayar,-1,Negatif
pindah pakai hp akun kirim kode wa pakai wa bisnis kepake get contact ku nomer wa bisnis wa bisnis nomerku nomer kantor edit beku hapus akun mulu nomer,2,Positif
bayar batas limit bulan baru limit cari pakai ganti limit cari,-4,Negatif
login sih daritadi kirim link verifikasi mulu masuk tolong admin getcontact baik kendala depan susah login apk ya nge stuck layar putih moga cepat baik ya,1,Positif
maaf kasih bintang rena tau guna nama aplikasi fitnah hapus sembunyi komentar negatif rugi banget aplikasi jatuh jatuh kunci privasi guna berbayarkalau sistem bagus kasih bintang,-3,Negatif
bebas cari nomer premium mending uninstall guna kayak malas aplikasi baik get contact biar kayak,-4,Negatif
fitur utama aplikasi cek t premium mengunakan aplikasi beli premium ya aplikasi guna habis simpan resiko sadap telpon aplikasi aplikasi bawa default smartphone,-2,Negatif
tolong developer tag ya premium jadi premium aplikasi bagus premium susah orang cari nomor kenal developer mohon,1,Positif
kecewa tag orang kontak suruh payar aplikasi ya beda banget sekg daftar ya muda belit,-2,Negatif
get contact premium cair nomor ya kena limit tulis kirim surel email masuk mohon bantu langgan premiun,1,Positif
aplikasi guna download ecek tag nomer nama ecek tag seseorangpenipu buka fiturnya premiumdownload gratis fiturnya premium,2,Positif
nomor spam nelp terusann nomor spam langsung blokir ganggu deh fungsi aplikasi lihat tag nomor spam aktif nelpon suka ngespam nelp sih pinjoll nyebut nama salah sok kenal kerabat kerabat nama kayak sebutin halal duitmuuu ganggu orang,-9,Negatif
aplikasi gue upgrade premium susah banget login pakai email telpon aplikasiga,-1,Negatif
tolong hapus aplikasi langgan premium hapus saldo tarik tolong suka tolong beritahu henti permium,1,Positif
bayar hadeh jujur aplikasi bagus loh nomor tipu nomor asing coba iseng bayar ya sayang sih ayo bikin gratis,1,Positif
langgan paket bisnis upload dokumen izin eh gagal verifikasi bayar mahal fitur,2,Positif
bagus look tampil ya tagar no telp orang ya mohon kembali ting ya terima kasih,3,Positif
banyak banyar guna grtais bayar viral kenal bayar fitur lihat tag kendala biaya teknologi diakalin lihat iklan kali bantu pasu,3,Positif
guna telepon kenal batas maksimal cari nomor sayang bayar murah,-1,Negatif
aplikasi ya dikit premium pas pakai premium gratis pas uninstall download premium lihat tagar premium banget,7,Positif
yaaak suruh verivikasi nomor telpon getcontact kurang angka nomor telepon ya verifikasi tulis batas maksimal verifikasi,-1,Negatif
kasih bintang berbayarsaran bayar gratis sajamungkin orang tarik mendownload getcontack,2,Positif
getcontact lihat tag free fitur channel fitur sex informasi spam lengkap,1,Positif
premium debit cc coba settingan hapus langgan premium tarik duit approval user nama,3,Positif
duh error ya aplikasi masuk kode negara nomor telepon pas tunggu kode verifikasi masuk nomor ubah jelek,-6,Negatif
apa dikit premium bantu susah tolong ya gratisin bayar uang bayar premium tolong bantu,1,Positif
tolong get contact nomor buah taq nama sembarang mantan penuh amarah dendam izin iklan premium tagar baru masuk langgar berat masuk polisi masuk sebar nama tolong get contact kasi iklan kasih taq akun ku,-9,Negatif
ecek nomor kontak aneh banget bayar iklan,1,Positif
download apk enak byar lihat tag ya lihat bayar tolong getcontact lihat tag pakai byar download apk pakai data iya byar gunain apk ya senang pas download bantu banget nomor tipu eh byar moga kdepannya gratis terimakasih sblumnya,9,Positif
bayar premium kena batas cari kontak rugi bayar kena maksimum cari kontak batas cari,-7,Negatif
aplikasi tarik uang dana getverfy lda konfirmasi sekalitau uang ditariktolong tarik uang konfirmasi biar setuui tidakjangan main tarik kasih bintang aplikasi,4,Positif
aplikasi buruk lihat tag orang premium aplikasi premium lihat noh watsapp gratis fitur premium orang beli fitur premium selagi gratis ku kasih bintang apk burik,4,Positif
manfaat nama tag gratis hilang aplikasi suka guna nama tag gratis nomornomor jahat buron polisi interpol,2,Positif
update lihat hastag orang premium beda kayak lihat bulan kena limit tolong kembali,1,Positif
apk andal cek nomor kenal apk ya mata duit login sulit pasuk nomor dihubungin ya nomor kapitalis,-1,Negatif
aplikasi buka kali buka muncul layar putih tulis aplikasi tanggap panggil masuk,-4,Negatif
tunggu ber cari ecek nama nama nge save nomer cari sebernanya paksa bayar sih mahal banget cari nama ngr save nomer,-2,Negatif
semenjak gua download aplikasi inigua telfon orang orang kontak gua aplikasi jaga privasi nokontak,-4,Negatif
kapai pakai premium sih is mending cek tag name pakai iklan untung kayak bikin ribet laku jaman main ads manfaatin,-3,Negatif
aplikasi guna member premium butuh uang kaum dang mending uninstall nih apk fitur gratis,1,Positif
izin kamera storage device izin reroute telepon akses internet kontrol penuh device spyware,-1,Negatif
bayar bebas lihat tag teman get contac premium an suruh tonton iklan premium premium premium ah duit kah premium,3,Positif
kasih bintang nge cek nomor kenal lihat bayar asik kayak uninstall,-1,Negatif
aplikasi batas bayar kontak kenal mudah,-2,Negatif
tag nama nomer oke tangan spam call buruk bilang guna get contact spam call mohon diupdate aman privasi guna premium gratis,3,Positif
tag nomor tonton iklan premium min lihat tag nomor,1,Positif
mohon maaf kasih bintang aplikasi bayar suka banget aplikasi mudah tau nomor tipu moga baik terimakasih,1,Positif
jelek banget aplikasi lihat tag orang bayar kayak mudah akses mudah cari cari tau developer ya kikir,-1,Negatif
gua curiga getcontact nomer penipupinjol orang pas nomer masuk nomer teman nama tuh banyak download ya tukang tambal curang nyebar paku jalan sih,-2,Negatif
download langgan ecek nomer orang nama nama kontak orang download,1,Positif
komentar bantu penting uang banding rating dpat untung iklan hapus aplikasi putus mengaharuskan guna langgan,-1,Negatif
aplikasi jasa banyak orang batas nomor bulan bantu wajib bayar kasih free pakai iklan cari nomor guna suka aplikasi jenis cari ganti database perlahan guna tinggal getcontact aplikasi,-4,Negatif
lihat tag orang lantar bayar kembali getcontact gratis kali coba bayar mudah guna kalang cari nomor tipu kali cari bayar bantu kalang terimakasih,2,Positif
lihat tagar kontak premium ya cek gratis update gratis kali limit kali salah baru cek premium cek tagar jarang banget bulan cuman cek nomor jelasnomor aplikasi lot buka uninstal,-3,Negatif
terbatasuntuk tag setidaknga hindar nomor spam nomor tipu moga depan bijak aplikasi pakai gratis iklan get contacts bayar pegawai aplikasi tingkat bantu orang kalang kalang hindar tipu suka pandang bulu,2,Positif
premium pas buka aplikasi nge glitch bersihin aplikasi ya ngeglitch buka aplikasi lancar layar masalah uninstall instal ulang pas login masuk nomer masuk nomer premium limit verifikasi kali pakai email daftar nomer,-1,Negatif
gtc iklan update serba bayar puas dapat iklan kecewa guna gtc menuhin memori kecewaaa kecewaa kecewaaa iklan gratis ketimbang berbayarrr,3,Positif
kembali get contact tagar premium kendala biaya teknologi tingkat mending ubah tonton iklan premium itu ecek nomer orang kenal rugi sayang banget aplikasi bagus komplain bintang ya,1,Positif
buka tagar batas banget premium apk mending uninstall sih premium mikir kontak mesti cek jatuh rugi beli premium kepake mending dipakein iklan apa cek tagar gratis uninstall ubah rubah ya good bye,-2,Negatif
mohon maaf get connected rekomendasi apk keluarga teman teman fiturnya bagus banget pas gratis kali iklan semenjak update lihat tagar orang minimal kasih bulan kali premium jujur ubah guna langgan premium,5,Positif
aplikasi lancar pakai mudah ganti hp install buka aplikasi eror gunain reinstall buka verifikasi ulang gagal nomor ketik sesuai tampil beda capai limit maksimum validasi kecewa payah,-4,Negatif
lihat tag orang lihat lihat premium dulubeda duludulu lihat tag premium,6,Positif
install login notifikasi ya login nge bug nih kayak aplikasi ya,1,Positif
jelek banget coba hp verivikasi no telpon kirim verivikasi kali,1,Positif
bagus siitp orang ngesave nomor chat dar tau moga depan ya,2,Positif
aplikasi ya ngacoo no cari tau tag nya bayar premium aneh bed aco gua uninstall,-2,Negatif
hati aplikasi tibatiba sedot saldo gopay gue pemberitahuan gilegile paket gojek aplikasi biang kerok ya kembali saldo gue,-1,Negatif
sayang banget pakai aplikasi bayar bayar harap bantu aplikasi,-1,Negatif
aplikasi beda banget instal gagal verifikasi sampah aplikasi,-4,Negatif
apk gratis ribet ya bagus jelek apk ya,1,Positif
aplikasi premium pas cari nomor kena limit payah kecewa,-1,Negatif
enak tampil ya masuk lihat tag gratis lihat iklan,3,Positif
log aplikasi premium lihat tag tagar nya pelit banget aplikasi,1,Positif
lihat profil orang cari nomor premium coba premium download,2,Positif
coba gagal verifikasi nomor email hasil verifikasi,1,Positif
semenjak premium senang lihat simpan nomer apk jelek,-1,Negatif
fitur premium malu bayar premium cari untung,1,Positif
login kirim kode verif kali kirim anggap spam tolong baik,-1,Negatif
get contact semenjak premium tutup milik akun asli jelek asih tau orang nomor jahat masalah ngebuat jahat rajalela tau nomor tipu,-4,Negatif
mohon maaf kasih bintang karena getcontact lihat tag nomor orang bayar paket premium lihat tag nomor orang mohon kembali terimakasih,4,Positif
aplikasi bagus guna gratis batas saran kasih bebas guna gratis iklan banyakitu iklankarena guna aplikasi kalang,1,Positif
aplikasi bantu ya meliaht poto profil kontak teman orang,-1,Negatif
atur nama kasih tau orang itungannya nyuri informasi kali rugi kena spam wa sms,-4,Negatif
tag bayar lihat tag kecuali bayar jatah free kali bayar,2,Positif
sumpah aplikasi login akun akun susah verivikasinya kirim via wa kirim sinyal bagus layan guna mending tutup aplikasi,-1,Negatif
kasih bintang gtc premium suka gtc iklan bayar suka nih apk bayar orang hadehh hadehh tidak ya kembali,1,Positif
moga getcontact fitur simpan nomor ponsel diponsel fitur jadi bayar orang guna butuh pasu aplikasi getcontact terima kasih,-1,Negatif
ubah diupdate bug hilang telepon layar hitam biru blank aplikasi gc juara kesini turun kualitas downgrade,-1,Negatif
aplikasi bantu updet cek get kontak berlanganan pro tipu get kontak langanan kadang pakai nomer orang ecek ah payah aplikasi,-2,Negatif
bagus get contact versi sih jatah lihat gratis bayar langgan premium jarang tarik apk semenjak bijak harus bayar ganti tonton iklan tag sekian terimakasih,4,Positif
guna apk nih stlah upgrade boro lihat nipu buka ngebug katnya byr premium tingkat kwalitas ambyr kecewa berat apk the best drama,2,Positif
saran fitur premium bayar laku bulan kasih limit apa bulan pakai kali ya hangus siasia laku limit paket limit fitur lengkap contoh beli limit fitur lengkap limit habis limit deh beli paket limit sayang pakai kali cari pakai kadang bulan pakai cari hangus siasia,-3,Negatif
aplikasi ya enak tag nama orang iklan bayar minimal limit bulan tag lihat tahun kasih lihat tag orang kecuali bayar kecewa sih guna iklan bayar,1,Positif
guna iklan nomor aktivitas spam muncul nomor kenal telepon tutup telepon muncul tagnya,-1,Negatif
buruk tag bayar hahaha lacak iklan gratis konsisten nyesal download aplikasi,-2,Negatif
guna get contact premium kali cahari nomer telepon hastag nomer iklan bayar premium tarif tarif cari nomer situ tera nomer tarif akun get contact akses,3,Positif
aplikasi ya kayak suka hati tag ku bintang suruh premium premium cuman tag doang rugi banget developer ya mata duit dikit dikit upgrade premium developer nih,-1,Negatif
ya tau developer keuntungantapi tagar premium gratis batas nyatapi sekaranh premiumudah guna apk get contact hp ya hapus,1,Positif
kecewakarna tarif langgan ya mahalsebenernya bagus apk cuman balikin turunin tarif langgan ya turunin harga jangkau kerja ajar,6,Positif
aplikasi bagus rekomended bantu hindar panggil spam tipu terimakasih,-2,Negatif
eror atasinnya hapus data instal ulang ubah,-3,Negatif
batas kali bulan tagar nomor lewat batas tagar guna baru tag nomor apk pelit guna uninstall,-3,Negatif
aplikasi ribet lihat tag premium bayar ya mending aplikasi tutup ribet guna ribet,-2,Negatif
bintang deh prabayar cek nomor langgan cek nomor mahal harga segitu guna detik cek nomor nomor pasang iklan masuk akal download aplikasi urung niat ya apk uninstall bhay,-2,Negatif
malas banget pakai aplikasi bagus bagus lihat tag kontak nomer orang bayar lihat tag kontak bisnis mah bisnis tingkat alam fitur tawar premium beda kocak jalan bisnis,3,Positif
premium sih anjlok rating getcontact masuk iklan premium aplikasi getcontact lengkap tim getcontact bijak rating ya turun saing fitur moga timbang,1,Positif
apasih banget ya premium kasihan orang biaya teknologi tingkat minimal kasih iklan premium premium orang pakai mohon depan perhati apk suka banget pakai apk dikit premium mending pakai iklan premium iklas tonton iklan,5,Positif
bagus akses unggul getcontact langgan nomor kontak data alias timbang uninstall aplikasi minimal akses layan,1,Positif
uninstall alam guna ngaruh banget asli apl diri premium guna pindah aplikasi mental miskin fitur utama aplikasi jadi premium guna kali tagar bulan limit habis guna penasaran langsung langgan fitur premium apl,4,Positif
aplikasi sombong guna wajib bayar biar fiturfiturnya cek tag kontak bayar wajib akun premium biar tag kontak aplikasi pelit,-4,Negatif
paham premium lihat no kontak baik limitasi kali minggu tuju ya cek orang nge scam kayak app ya bayar useless,2,Positif
getcontact cari nomor gratis undurin cari limit habis lanjut cari cari keluar cari getcontact konsisten tolong jelas,-5,Negatif
ih iya premium buka getcontcat cek premium cek getcontcat langgan ya bulan ya cek no rugi tolong rubah ya badmood,1,Positif
saran cek tanda tonton iklan kali putar iklan opsi guna langgan premium terimakasih,1,Positif
oke bagus gratis ya akses lihat tag bulan kali kocak beli hadeh,2,Positif
pakai versi premium coba versi batas kepake fungsi ya pesan download nih,1,Positif
premium lihat tagar ya baru bksa kasih bintang kecewa app ya premium duit kalua kayak hasil ya hidup hari,5,Positif
aplikasi ribet cek nomor premium kecewa sih update bagus eh performa turun apk selamat temanteman tipu,-1,Negatif
aplikasi download menuh menuhin memori pas masuk ingat minta tunggu minimal bikin aplikasi bikin menuh menuhin memori tiktok iklanya aplikasi bagus banget bagus,-3,Negatif
jelek premium apknya bantu milik usaha customernya tipu minimal limit nomor cari,-1,Negatif
bagus pasuk nomor simpan nama hp teman orang munculjadi tau milik nomor diliht bnyknya mnyimpan sebut,-1,Negatif
kecewa banget bayar guna kadang kadang buka aplikasi uninstall apk ganti bijak instal byee apk pelit,3,Positif
berat hati kecewa tim getcontact apk populer ya tagtegar secata gratis update premium premium minimal kasih batas minggu kali mohon ubah ya,3,Positif
aplikasi buka tampil tetap getcontact telepon default panggil hang apa apa coba uninstall install ulang unintall,-3,Negatif
premium gratis premium cek no hp premium batas gratis bulan lihat kali kali kena biaya premium pas gratis kali lihat biaya lewat batas gratis bulan,5,Positif
minimal kali kali kali gratis cek tagar nomor telpon orang direset tmbahkan fitur tonton iklan kali lihat tagar orang gamasalah guna tuh cuman kali bulan sayang banget lngganan moga saran dengar realisasi guna getkontak premium,1,Positif
nge save diupdate premium tolong min tag ngesave kontak jadi premium kasihan premimum,2,Positif
abang tolong panjang premium kayak notifikasi panjang notif tibatiba saldo gopay kurang v,2,Positif
bantu aplikasi cek nomer kenal hindar tipu sayang get contact pro tipu detail tag langgan premium tipu senang batas get contact mudah deteksi,1,Positif
min tolong baik cek kuotapulsa nelpon ketik masuk pesan sisa koutapulsa cek nelpon hadehh,-4,Negatif
langgan lihat teg nomor orang jelek update ya bagus kemarin langgan,3,Positif
sih daftar kalitapi susah daftar tolak terusdi no hp pasuk kagak komplit getcontact ya,-2,Negatif
rating bicara pakai fitur batas kalah tarik aplikasi belah harga langgan murah developer kreatif tanggap keluh langgan dar sebentar aplikasi hilang playstore rekomendasi uninstall,1,Positif
apacoba kasih lihat tag orang beli paket premium minimal kasih sempat xbulan guna gratis tonton iklan lihat tag orang,4,Positif
iklan iklan close arah installgak jelasmakin buruk aplikasi get contacts premium mahal,-1,Negatif
kecewa banget aplikasi bantu banget orgnya introvert cek nomor kenal teman rekomendasi aplikasi semenjak bayar uninstal deh rugi banget bayar aplikasi pakai,-2,Negatif
ya download tau ubah eh lihat ulas asih bintang keluh batal download ahmending coba aplikasi,-1,Negatif
tolong uang kembali tarik otomatis akun dana nila rp tuju transaksi langgan mohon kembalilan uang,6,Positif
tolong kembali saldo dana beli langgan getcontact payment otomatis tolong kembali saldo dana,6,Positif
uninstallgx free gratis batas maksimal premium digunakanauto banget nih aplikasi,3,Positif
beda lihat kontak langgan,1,Positif
gila uang shopepay potong bayar premium premium aneh banget sumpah sesal premium cuman potong uang taoi premium anjing,2,Positif
banyak bayar bayar dikit dikit bayar sayang cuman pakai doang bayar sayang banget tolong kembali kayak fiturnya,-2,Negatif
gaguna liet tag nomor premium cari tau orang balik nomor kenal eh premium tag ya gaguna banget nih apk,1,Positif
susah banget langgan error lihat tag sulit langgan langgan malahh errorrr aplikasi gajeeeee,2,Positif
login get contact susah ya mohon bantu susah masuk get contact ya,-1,Negatif
bayar susah beli premium ribet bayar bayar bayar,-1,Negatif
banget premium yaga kayak lihat ya lihat moga baru lihat ya,7,Positif
gagal login ya instal hapus kali login nomor email gagal verifikasi jelek banget,-2,Negatif
seta fitur premium uninstall aplikasi tolong kembaliin getcontack kayak biar turun ranting nih,-1,Negatif
tanda tag nomor moga aplikasi saing,-1,Negatif
berlanggananterus unisntal tagih instal langgan tagih,-1,Negatif
serba premium harga bawah sih jarang pakai kau cari tagar orang kena limit mulu,-1,Negatif
aplikasi jelek banget lot buka bayar youtube akses bayar pakai kuota aplikasi bayar premium not recommended,-2,Negatif
lihat tag premium apa nih apk kayak lihat tag walapun premium harap get contact kayak,1,Positif
coba login tulis kirim privasi silah coba pas coba nya,3,Positif
penguna prabayar cari contak muncul capai batas maksimum guna getcontact tau prabayar aplikasi puas aplikasi langgan aplikasi,-3,Negatif
fitur premium aplikasi bantu guna cari nomer malas,-1,Negatif
bantu banget kesini langgan premium potong saldo langgan notifikasi maaf bintang turun bawah,4,Positif
diupdate fitur tanda iklan terima langgan spam pakai hari sd nomor iklan,-1,Negatif
seru lihat nama save orang langgan langgan auto uninstall,3,Positif
bantu tipu sembunyi nomor tuju pokok apk bantu,1,Positif
download suruh premium langsung uninstall minimal kasih trial biar tau manfaat premium dicobain langsung trial,2,Positif
kali masuk nomer cek teryata nomer rang digit verifikasi,-3,Negatif
stop pakai bayar subscribe bayar bulan makenya paling ecek doang mending aplikasi bayar instal jual koin kredit ribu koin koin kali cek nomor koin cek tag nomor suruh tonton iklan detik koin ya ya moga next ya ubah bijak asih win solution dinotice dev,-2,Negatif
harus ya biar kasih akun privasi spa tau orang tipu download apk lihat nomer orang tipu mke fitur privat kena tipu lihat nomer baik,-1,Negatif
jelek banget ngeleg premium tolong baik orang premium,2,Positif
suka aplikasi bantu tagar batas diupdate bayar turun bintang moga depan suara komplain dengar tonton iklan tagar,-3,Negatif
cek umpama batas kuota gratis bulan,-3,Negatif
premium mending kasih iklan deh premium rugi ya orang jarang pakai aplikasi,1,Positif
paket premium langgan aplikasi bantu ya netijen ribet iklan free lihat tag nomer puas langgan no tolong perhati ya get contact,7,Positif
bagus detect nomor orglain bayar bulan download jdnya bayar bulan check moga balikin kayak biar guna nyaman,1,Positif
enak aplikasi bayar iklan lihat simpan nomor kontak mahal sih bulan guna aplikasi cek nomor kadang tahun kayak rugi bayar segitu ecek doang,-4,Negatif
pakai aplikasi sbnrnya cari tauterus no kontak kaya spam langsung otomatis blokir langgan ya kasih iklan lihat tag orang masalahatau iklan pas buka aplikasi uang aplikasi ya tarif ya ya buka pas ajakya sia sih uang pakai berlangganansedih banget,4,Positif
kecewa getcontak premium lihat tanggar tolong bayar ganti tonton iklan terimakasih aplikasi bantu,1,Positif
update versi gratis bayar versi menu hilang tap nama langsung panggil sebal ui buruk,1,Positif
